company_id,year,Asset Turnover,Fixed Asset Turnover,Investment Turnover
ABB,Dec 2012,1.82,15.17,
ABB,Mar 2014,2.0,23.22,
ABB,Mar 2015,1.67,23.84,
ABB,Mar 2016,1.62,24.2,
ABB,Mar 2017,1.41,26.39,
ABB,Mar 2018,1.37,40.72,
ABB,Mar 2019,1.25,35.04,
ABB,Mar 2020,1.15,15.16,
ABB,Mar 2021,1.12,17.17,
ABB,Mar 2022,1.16,18.13,
ABB,Mar 2023,1.17,22.57,
ABB,Mar 2024,1.13,26.0,
ADANIENSOL,Mar 2014,,,
ADANIENSOL,Mar 2015,0.01,0.01,
ADANIENSOL,Mar 2016,0.19,0.22,109.7
ADANIENSOL,Mar 2017,0.22,0.29,27.39
ADANIENSOL,Mar 2018,0.23,0.42,
ADANIENSOL,Mar 2019,0.22,0.3,21.74
ADANIENSOL,Mar 2020,0.29,0.46,36.47
ADANIENSOL,Mar 2021,0.23,0.37,22.46
ADANIENSOL,Mar 2022,0.24,0.37,20.07
ADANIENSOL,Mar 2023,0.25,0.41,9.7
ADANIENSOL,Mar 2024,0.28,0.43,21.68
ADANIENT,Mar 2013,0.41,0.95,143.58
ADANIENT,Mar 2014,0.47,0.78,190.79
ADANIENT,Mar 2015,0.49,0.77,86.65
ADANIENT,Mar 2016,0.82,3.25,42.25
ADANIENT,Mar 2017,0.77,2.67,35.06
ADANIENT,Mar 2018,0.64,3.4,24.59
ADANIENT,Mar 2019,0.95,4.48,26.72
ADANIENT,Mar 2020,0.93,4.14,22.24
ADANIENT,Mar 2021,0.77,3.65,7.18
ADANIENT,Mar 2022,0.68,2.3,16.17
ADANIENT,Mar 2023,0.9,2.24,20.21
ADANIENT,Mar 2024,0.6,1.46,11.08
ADANIGREEN,Mar 2017,0.08,0.12,19.31
ADANIGREEN,Mar 2018,0.09,0.16,17.01
ADANIGREEN,Mar 2019,0.14,0.2,26.73
ADANIGREEN,Mar 2020,0.14,0.2,5.36
ADANIGREEN,Mar 2021,0.11,0.19,6.22
ADANIGREEN,Mar 2022,0.09,0.18,8.94
ADANIGREEN,Mar 2023,0.12,0.16,6.77
ADANIGREEN,Mar 2024,0.1,0.15,6.09
ADANIPORTS,Mar 2013,0.17,0.31,16.11
ADANIPORTS,Mar 2013,0.17,0.31,16.11
ADANIPORTS,Mar 2014,0.2,0.37,76.67
ADANIPORTS,Mar 2014,0.2,0.37,76.67
ADANIPORTS,Mar 2015,0.19,0.3,23.66
ADANIPORTS,Mar 2015,0.19,0.3,23.66
ADANIPORTS,Mar 2016,0.19,0.34,13.04
ADANIPORTS,Mar 2016,0.19,0.34,13.04
ADANIPORTS,Mar 2017,0.19,0.4,7.27
ADANIPORTS,Mar 2017,0.19,0.4,7.27
ADANIPORTS,Mar 2018,0.24,0.5,10.49
ADANIPORTS,Mar 2018,0.24,0.5,10.49
ADANIPORTS,Mar 2019,0.19,0.39,13.97
ADANIPORTS,Mar 2019,0.19,0.39,13.97
