company_id,year,sales,net_profit,previous_sales,previous_profit,Sales Growth %,Profit Growth %,Asset Growth %
ABB,Dec 2012,1653,145,,,,,
ABB,Mar 2014,2276,198,1653.0,145.0,37.69,36.55,25.58
ABB,Mar 2015,2289,229,2276.0,198.0,0.57,15.66,20.63
ABB,Mar 2016,2614,255,2289.0,229.0,14.2,11.35,17.61
ABB,Mar 2017,2903,277,2614.0,255.0,11.06,8.63,27.85
ABB,Mar 2018,3298,401,2903.0,277.0,13.61,44.77,16.94
ABB,Mar 2019,3679,450,3298.0,401.0,11.55,12.22,21.73
ABB,Mar 2020,4093,593,3679.0,450.0,11.25,31.78,20.61
ABB,Mar 2021,4310,691,4093.0,593.0,5.3,16.53,8.26
ABB,Mar 2022,4913,799,4310.0,691.0,13.99,15.63,10.0
ABB,Mar 2023,5349,949,4913.0,799.0,8.87,18.77,7.86
ABB,Mar 2024,5849,1201,5349.0,949.0,9.35,26.55,13.98
ABB,TTM,6066,1285,5849.0,1201.0,3.71,6.99,
ADANIENSOL,Mar 2014,0,0,,,,,
ADANIENSOL,Mar 2015,131,-7,0.0,0.0,,,
ADANIENSOL,Mar 2016,2194,368,131.0,-7.0,1574.81,-5357.14,2.21
ADANIENSOL,Mar 2017,2876,416,2194.0,368.0,31.08,13.04,9.07
ADANIENSOL,Mar 2018,3944,1143,2876.0,416.0,37.13,174.76,34.77
ADANIENSOL,Mar 2019,7305,559,3944.0,1143.0,85.22,-51.09,88.58
ADANIENSOL,Mar 2020,11416,706,7305.0,559.0,56.28,26.3,21.97
ADANIENSOL,Mar 2021,9926,1290,11416.0,706.0,-13.05,82.72,8.87
ADANIENSOL,Mar 2022,11258,1236,9926.0,1290.0,13.42,-4.19,9.78
ADANIENSOL,Mar 2023,13293,1281,11258.0,1236.0,18.08,3.64,13.63
ADANIENSOL,Mar 2024,16607,1196,13293.0,1281.0,24.93,-6.64,8.54
ADANIENSOL,TTM,22099,589,16607.0,1196.0,33.07,-50.75,
ADANIENT,Mar 2013,46375,1218,,,,,
ADANIENT,Mar 2014,54947,2646,46375.0,1218.0,18.48,117.24,5.57
ADANIENT,Mar 2015,64465,2298,54947.0,2646.0,17.32,-13.15,10.68
