company_id,year,Net Profit Margin,Operating Profit Margin,ROE,ROCE,ROA
ABB,Dec 2012,8.77,12.22,22.41,31.22,15.99
ABB,Mar 2014,8.7,11.73,25.13,33.88,17.38
ABB,Mar 2015,10.0,13.63,24.44,33.3,16.67
ABB,Mar 2016,9.76,13.96,21.34,30.54,15.78
ABB,Mar 2017,9.54,13.71,19.97,28.7,13.41
ABB,Mar 2018,12.16,15.92,23.69,31.01,16.6
ABB,Mar 2019,12.23,16.44,22.41,30.13,15.3
ABB,Mar 2020,14.49,18.49,24.39,29.05,16.72
ABB,Mar 2021,16.03,21.39,26.56,33.47,17.99
ABB,Mar 2022,16.26,22.02,28.33,36.41,18.92
ABB,Mar 2023,17.74,22.55,29.77,36.53,20.83
ABB,Mar 2024,20.53,24.84,32.47,38.42,23.13
ADANIENSOL,Mar 2014,,,0.0,0.0,
ADANIENSOL,Mar 2015,-5.34,77.1,-0.65,0.94,-0.06
ADANIENSOL,Mar 2016,16.77,87.83,13.77,17.12,3.13
ADANIENSOL,Mar 2017,14.46,68.95,14.12,16.63,3.25
ADANIENSOL,Mar 2018,28.98,71.65,18.87,17.14,6.62
ADANIENSOL,Mar 2019,7.65,38.03,6.95,9.86,1.72
ADANIENSOL,Mar 2020,6.18,37.3,8.31,13.0,1.78
ADANIENSOL,Mar 2021,13.0,39.79,14.46,10.97,2.98
ADANIENSOL,Mar 2022,10.98,37.36,12.47,10.56,2.6
ADANIENSOL,Mar 2023,9.64,33.99,10.9,9.82,2.38
ADANIENSOL,Mar 2024,7.2,34.39,9.46,11.49,2.04
ADANIENT,Mar 2013,2.63,12.98,5.69,6.64,1.09
ADANIENT,Mar 2014,4.82,17.08,11.14,9.8,2.24
ADANIENT,Mar 2015,3.56,19.31,8.93,11.39,1.76
ADANIENT,Mar 2016,2.94,4.95,7.47,5.17,2.4
ADANIENT,Mar 2017,2.53,5.21,6.54,5.44,1.94
ADANIENT,Mar 2018,1.65,5.67,3.94,6.23,1.05
ADANIENT,Mar 2019,1.25,4.88,3.43,7.57,1.19
ADANIENT,Mar 2020,2.4,5.29,6.14,7.81,2.22
ADANIENT,Mar 2021,2.65,6.34,6.1,7.51,2.03
ADANIENT,Mar 2022,1.14,5.35,3.54,5.82,0.78
ADANIENT,Mar 2023,1.9,6.91,7.33,10.22,1.71
ADANIENT,Mar 2024,3.46,11.8,8.53,10.9,2.08
ADANIGREEN,Mar 2017,-9.36,80.28,-3.91,7.26,-0.76
ADANIGREEN,Mar 2018,-9.32,56.96,-10.29,7.52,-0.88
ADANIGREEN,Mar 2019,-23.08,74.15,-24.57,11.67,-3.24
ADANIGREEN,Mar 2020,-2.67,56.89,-2.89,8.42,-0.37
ADANIGREEN,Mar 2021,5.83,71.73,8.27,8.49,0.63
ADANIGREEN,Mar 2022,9.53,68.42,18.71,6.33,0.83
ADANIGREEN,Mar 2023,12.51,63.91,13.32,8.08,1.45
ADANIGREEN,Mar 2024,13.67,79.37,12.81,9.8,1.43
ADANIPORTS,Mar 2013,45.82,66.59,25.63,13.22,7.79
ADANIPORTS,Mar 2014,36.05,60.43,19.86,13.42,7.06
ADANIPORTS,Mar 2015,37.78,63.43,21.59,13.67,7.24
ADANIPORTS,Mar 2016,40.17,64.38,21.15,12.77,7.44
ADANIPORTS,Mar 2017,46.24,64.2,22.26,13.63,9.0
ADANIPORTS,Mar 2018,32.59,63.21,17.65,16.54,7.81
ADANIPORTS,Mar 2019,37.03,60.38,16.6,12.66,7.18
ADANIPORTS,Mar 2020,31.88,50.09,14.87,10.68,6.11
ADANIPORTS,Mar 2021,40.23,69.23,16.59,13.1,6.77
ADANIPORTS,Mar 2022,28.93,55.66,11.84,10.62,5.04
ADANIPORTS,Mar 2023,25.85,52.5,11.88,11.08,4.79
ADANIPORTS,Mar 2024,30.34,58.36,15.35,15.25,6.93
ADANIPORTS,Mar 2013,45.82,66.59,25.63,13.22,7.79
ADANIPORTS,Mar 2014,36.05,60.43,19.86,13.42,7.06
ADANIPORTS,Mar 2015,37.78,63.43,21.59,13.67,7.24
ADANIPORTS,Mar 2016,40.17,64.38,21.15,12.77,7.44
ADANIPORTS,Mar 2017,46.24,64.2,22.26,13.63,9.0
ADANIPORTS,Mar 2018,32.59,63.21,17.65,16.54,7.81
ADANIPORTS,Mar 2019,37.03,60.38,16.6,12.66,7.18
ADANIPORTS,Mar 2020,31.88,50.09,14.87,10.68,6.11
ADANIPORTS,Mar 2021,40.23,69.23,16.59,13.1,6.77
ADANIPORTS,Mar 2022,28.93,55.66,11.84,10.62,5.04
ADANIPORTS,Mar 2023,25.85,52.5,11.88,11.08,4.79
ADANIPORTS,Mar 2024,30.34,58.36,15.35,15.25,6.93
ADANIPOWER,Mar 2013,-34.29,14.35,-53.46,2.08,-4.2
ADANIPOWER,Mar 2014,-1.9,29.96,-4.45,9.06,-0.5
ADANIPOWER,Mar 2015,-4.37,25.04,-14.25,9.27,-1.4
ADANIPOWER,Mar 2016,2.17,34.68,7.38,14.62,0.73
ADANIPOWER,Mar 2017,-27.3,26.44,-205.8,10.78,-8.63
ADANIPOWER,Mar 2018,-10.36,26.77,-236.56,10.12,-3.02
ADANIPOWER,Mar 2019,-4.12,20.86,-12.76,9.11,-1.45
ADANIPOWER,Mar 2020,-8.6,21.66,-35.1,9.3,-3.03
ADANIPOWER,Mar 2021,4.84,33.13,9.69,13.24,1.61
ADANIPOWER,Mar 2022,17.73,35.66,26.61,14.62,5.99
ADANIPOWER,Mar 2023,27.67,26.04,35.91,13.98,12.5
ADANIPOWER,Mar 2024,41.37,36.2,48.28,23.44,22.64
AMBUJACEM,Dec 2012,13.25,25.37,14.69,27.92,10.47
AMBUJACEM,Dec 2013,13.95,18.22,13.51,17.55,9.86
