RATIO EDGE CASE REPORT
==================================================

Company ADANIENSOL (Mar 2014): Sales is zero
Company ADANIENSOL (Mar 2015): Net Profit is negative
Company ADANIGREEN (Mar 2017): Net Profit is negative
Company ADANIGREEN (Mar 2018): Net Profit is negative
Company ADANIGREEN (Mar 2019): Net Profit is negative
Company ADANIGREEN (Mar 2020): Net Profit is negative
Company ADANIPOWER (Mar 2013): Net Profit is negative
Company ADANIPOWER (Mar 2014): Net Profit is negative
Company ADANIPOWER (Mar 2015): Net Profit is negative
Company ADANIPOWER (Mar 2017): Net Profit is negative
Company ADANIPOWER (Mar 2018): Net Profit is negative
Company ADANIPOWER (Mar 2019): Net Profit is negative
Company ADANIPOWER (Mar 2020): Net Profit is negative
Company BANKBARODA (Mar 2016): Net Profit is negative
Company BANKBARODA (Mar 2018): Net Profit is negative
Company BHARTIARTL (Mar 2020): Net Profit is negative
Company BHARTIARTL (Mar 2021): Net Profit is negative
Company BHEL (Mar 2016): Operating Profit is negative
Company BHEL (Mar 2016): Net Profit is negative
Company BHEL (Mar 2020): Operating Profit is negative
Company BHEL (Mar 2020): Net Profit is negative
Company BHEL (Mar 2021): Operating Profit is negative
Company BHEL (Mar 2021): Net Profit is negative
Company CANBK (Mar 2016): Net Profit is negative
Company CANBK (Mar 2018): Net Profit is negative
Company CANBK (Mar 2020): Net Profit is negative
Company DLF (Mar 2020): Net Profit is negative
Company GODREJCP (Mar 2024): Net Profit is negative
Company HINDALCO (Mar 2016): Net Profit is negative
Company IOC (Mar 2020): Net Profit is negative
Company JINDALSTEL (Mar 2015): Net Profit is negative
Company JINDALSTEL (Mar 2016): Net Profit is negative
Company JINDALSTEL (Mar 2017): Net Profit is negative
Company JINDALSTEL (Mar 2018): Net Profit is negative
Company JINDALSTEL (Mar 2019): Net Profit is negative
Company JINDALSTEL (Mar 2020): Net Profit is negative
Company JSWSTEEL (Mar 2016): Net Profit is negative
Company LICI (Mar 2020): Operating Profit is negative
Company LICI (Mar 2021): Operating Profit is negative
Company M&M (Mar 2020): Net Profit is negative
Company NAUKRI (Mar 2015): Net Profit is negative
Company NAUKRI (Mar 2017): Operating Profit is negative
Company NAUKRI (Mar 2017): Net Profit is negative
Company NAUKRI (Mar 2020): Operating Profit is negative
Company NAUKRI (Mar 2020): Net Profit is negative
Company NAUKRI (Mar 2023): Net Profit is negative
Company PNB (Mar 2016): Net Profit is negative
Company PNB (Mar 2016): Net Profit is negative
Company PNB (Mar 2016): Net Profit is negative
Company PNB (Mar 2016): Net Profit is negative
Company PNB (Mar 2016): Net Profit is negative
Company PNB (Mar 2018): Net Profit is negative
Company PNB (Mar 2018): Net Profit is negative
Company PNB (Mar 2018): Net Profit is negative
Company PNB (Mar 2018): Net Profit is negative
Company PNB (Mar 2018): Net Profit is negative
Company PNB (Mar 2019): Net Profit is negative
Company PNB (Mar 2019): Net Profit is negative
Company PNB (Mar 2019): Net Profit is negative
Company PNB (Mar 2019): Net Profit is negative
Company PNB (Mar 2019): Net Profit is negative
Company TATACONSUM (Mar 2016): Net Profit is negative
Company TATAMOTORS (Mar 2019): Net Profit is negative
Company TATAMOTORS (Mar 2020): Net Profit is negative
Company TATAMOTORS (Mar 2021): Net Profit is negative
Company TATAMOTORS (Mar 2022): Net Profit is negative
Company TATASTEEL (Mar 2013): Net Profit is negative
Company TATASTEEL (Mar 2015): Net Profit is negative
Company TATASTEEL (Mar 2016): Operating Profit is negative
Company TATASTEEL (Mar 2016): Net Profit is negative
Company TATASTEEL (Mar 2017): Net Profit is negative
Company TATASTEEL (Mar 2024): Net Profit is negative
Company TRENT (Mar 2013): Net Profit is negative
Company TRENT (Mar 2014): Operating Profit is negative
Company TRENT (Mar 2014): Net Profit is negative
Company TRENT (Mar 2021): Net Profit is negative
Company UNIONBANK (Mar 2014): Operating Profit is negative
Company UNIONBANK (Mar 2015): Operating Profit is negative
Company UNIONBANK (Mar 2016): Operating Profit is negative
Company UNIONBANK (Mar 2017): Operating Profit is negative
Company UNIONBANK (Mar 2018): Operating Profit is negative
Company UNIONBANK (Mar 2018): Net Profit is negative
Company UNIONBANK (Mar 2019): Operating Profit is negative
Company UNIONBANK (Mar 2019): Net Profit is negative
Company UNIONBANK (Mar 2020): Operating Profit is negative
Company UNIONBANK (Mar 2020): Net Profit is negative
Company UNIONBANK (Mar 2021): Operating Profit is negative
Company UNIONBANK (Mar 2022): Operating Profit is negative
Company UNIONBANK (Mar 2023): Operating Profit is negative
Company INDIGO (Mar 2020): Net Profit is negative
Company INDIGO (Mar 2021): Net Profit is negative
Company INDIGO (Mar 2022): Net Profit is negative
Company INDIGO (Mar 2023): Net Profit is negative
