company_id,year,Debt to Equity,Interest Coverage,Debt Ratio
ABB,Dec 2012,0.0,,1.0
ABB,Mar 2014,0.0,,1.0
ABB,Mar 2015,0.0,,1.0
ABB,Mar 2016,0.0,121.67,1.0
ABB,Mar 2017,0.0,199.0,1.0
ABB,Mar 2018,0.0,131.25,1.0
ABB,Mar 2019,0.0,302.5,1.0
ABB,Mar 2020,0.07,84.11,1.0
ABB,Mar 2021,0.06,51.22,1.0
ABB,Mar 2022,0.05,56.95,1.0
ABB,Mar 2023,0.04,75.38,1.0
ABB,Mar 2024,0.02,121.08,1.0
ADANIENSOL,Mar 2014,0.0,,
ADANIENSOL,Mar 2015,8.96,1.38,1.0
ADANIENSOL,Mar 2016,3.21,2.01,1.0
ADANIENSOL,Mar 2017,3.05,2.19,1.0
ADANIENSOL,Mar 2018,1.72,3.19,1.0
ADANIENSOL,Mar 2019,2.5,2.0,1.0
ADANIENSOL,Mar 2020,2.85,1.9,1.0
ADANIENSOL,Mar 2021,3.04,1.87,1.0
ADANIENSOL,Mar 2022,3.02,1.78,1.0
ADANIENSOL,Mar 2023,2.92,1.62,1.0
ADANIENSOL,Mar 2024,2.93,2.06,1.0
ADANIENT,Mar 2013,3.24,1.72,1.0
ADANIENT,Mar 2014,3.03,1.65,1.0
ADANIENT,Mar 2015,3.25,1.76,1.0
ADANIENT,Mar 2016,1.43,1.24,1.0
ADANIENT,Mar 2017,1.47,1.51,1.0
ADANIENT,Mar 2018,1.17,1.63,1.0
ADANIENT,Mar 2019,0.76,1.21,1.0
ADANIENT,Mar 2020,0.73,1.46,1.0
ADANIENT,Mar 2021,0.95,1.82,1.0
ADANIENT,Mar 2022,1.87,1.47,1.0
ADANIENT,Mar 2023,1.61,2.22,1.0
ADANIENT,Mar 2024,1.67,2.5,1.0
ADANIGREEN,Mar 2017,3.61,1.21,1.0
ADANIGREEN,Mar 2018,7.36,1.53,1.0
ADANIGREEN,Mar 2019,5.76,1.36,1.0
ADANIGREEN,Mar 2020,6.31,1.46,1.0
ADANIGREEN,Mar 2021,11.0,1.15,1.0
ADANIGREEN,Mar 2022,20.21,1.34,1.0
ADANIGREEN,Mar 2023,7.42,1.71,1.0
ADANIGREEN,Mar 2024,6.6,1.46,1.0
ADANIPORTS,Mar 2013,1.82,4.39,1.0
ADANIPORTS,Mar 2013,1.82,4.39,1.0
ADANIPORTS,Mar 2014,1.48,2.99,1.0
ADANIPORTS,Mar 2014,1.48,2.99,1.0
ADANIPORTS,Mar 2015,1.65,3.32,1.0
ADANIPORTS,Mar 2015,1.65,3.32,1.0
ADANIPORTS,Mar 2016,1.65,4.07,1.0
ADANIPORTS,Mar 2016,1.65,4.07,1.0
ADANIPORTS,Mar 2017,1.27,4.85,1.0
ADANIPORTS,Mar 2017,1.27,4.85,1.0
ADANIPORTS,Mar 2018,1.07,4.53,1.0
ADANIPORTS,Mar 2018,1.07,4.53,1.0
ADANIPORTS,Mar 2019,1.14,4.76,1.0
ADANIPORTS,Mar 2019,1.14,4.76,1.0
ADANIPORTS,Mar 2020,1.19,3.05,1.0
ADANIPORTS,Mar 2020,1.19,3.05,1.0
ADANIPORTS,Mar 2021,1.18,3.85,1.0
ADANIPORTS,Mar 2021,1.18,3.85,1.0
ADANIPORTS,Mar 2022,1.15,3.75,1.0
ADANIPORTS,Mar 2022,1.15,3.75,1.0
ADANIPORTS,Mar 2023,1.18,4.63,1.0
ADANIPORTS,Mar 2023,1.18,4.63,1.0
ADANIPORTS,Mar 2024,0.94,5.7,1.0
ADANIPORTS,Mar 2024,0.94,5.7,1.0
ADANIPOWER,Mar 2013,9.74,0.56,1.0
ADANIPOWER,Mar 2014,6.75,1.1,1.0
ADANIPOWER,Mar 2015,7.82,0.96,1.0
ADANIPOWER,Mar 2016,7.06,1.58,1.0
ADANIPOWER,Mar 2017,17.49,1.01,1.0
ADANIPOWER,Mar 2018,59.43,0.98,1.0
ADANIPOWER,Mar 2019,6.09,0.88,1.0
ADANIPOWER,Mar 2020,8.52,1.08,1.0
ADANIPOWER,Mar 2021,4.01,1.7,1.0
ADANIPOWER,Mar 2022,2.66,2.41,1.0
ADANIPOWER,Mar 2023,1.42,3.03,1.0
ADANIPOWER,Mar 2024,0.8,5.38,1.0
AMBUJACEM,Dec 2012,0.01,31.71,1.0
AMBUJACEM,Dec 2013,0.01,24.91,1.0
AMBUJACEM,Dec 2014,0.0,29.3,1.0
AMBUJACEM,Dec 2015,0.0,16.76,1.0
AMBUJACEM,Dec 2016,0.0,20.79,1.0
AMBUJACEM,Dec 2017,0.0,18.73,1.0
AMBUJACEM,Dec 2018,0.0,23.59,1.0
AMBUJACEM,Dec 2019,0.0,27.04,1.0
AMBUJACEM,Dec 2020,0.02,35.76,1.0
AMBUJACEM,Dec 2021,0.02,42.53,1.0
AMBUJACEM,Mar 2024,0.02,23.19,1.0
APOLLOHOSP,Mar 2013,0.44,5.94,1.0
APOLLOHOSP,Mar 2014,0.45,5.68,1.0
APOLLOHOSP,Mar 2015,0.63,6.25,1.0
APOLLOHOSP,Mar 2016,0.85,3.8,1.0
APOLLOHOSP,Mar 2017,0.94,2.86,1.0
APOLLOHOSP,Mar 2018,1.05,2.72,1.0
APOLLOHOSP,Mar 2019,1.1,3.27,1.0
APOLLOHOSP,Mar 2020,1.08,2.98,1.0
APOLLOHOSP,Mar 2021,0.9,2.54,1.0
APOLLOHOSP,Mar 2022,0.72,5.78,1.0
APOLLOHOSP,Mar 2023,0.7,5.42,1.0
APOLLOHOSP,Mar 2024,0.77,5.33,1.0
ASIANPAINT,Mar 2013,0.07,41.36,1.0
ASIANPAINT,Mar 2014,0.06,41.75,1.0
ASIANPAINT,Mar 2015,0.09,53.4,1.0
ASIANPAINT,Mar 2016,0.05,55.61,1.0
ASIANPAINT,Mar 2017,0.07,80.92,1.0
ASIANPAINT,Mar 2018,0.06,78.15,1.0
ASIANPAINT,Mar 2019,0.14,34.23,1.0
ASIANPAINT,Mar 2020,0.11,40.75,1.0
ASIANPAINT,Mar 2021,0.09,52.78,1.0
ASIANPAINT,Mar 2022,0.11,50.57,1.0
ASIANPAINT,Mar 2023,0.12,43.47,1.0
ASIANPAINT,Mar 2024,0.13,37.0,1.0
ASIANPAINT,Mar 2013,0.07,41.36,1.0
ASIANPAINT,Mar 2014,0.06,41.75,1.0
ASIANPAINT,Mar 2015,0.09,53.4,1.0
ASIANPAINT,Mar 2016,0.05,55.61,1.0
ASIANPAINT,Mar 2017,0.07,80.92,1.0
ASIANPAINT,Mar 2018,0.06,78.15,1.0
ASIANPAINT,Mar 2019,0.14,34.23,1.0
ASIANPAINT,Mar 2020,0.11,40.75,1.0
ASIANPAINT,Mar 2021,0.09,52.78,1.0
ASIANPAINT,Mar 2022,0.11,50.57,1.0
ASIANPAINT,Mar 2023,0.12,43.47,1.0
ASIANPAINT,Mar 2024,0.13,37.0,1.0
ATGL,Mar 2018,1.32,2.93,1.0
ATGL,Mar 2019,0.36,5.06,1.0
ATGL,Mar 2020,0.29,14.51,1.0
ATGL,Mar 2021,0.27,17.6,1.0
ATGL,Mar 2022,0.43,14.58,1.0
ATGL,Mar 2023,0.48,11.15,1.0
ATGL,Mar 2024,0.43,9.95,1.0
AXISBANK,Mar 2013,8.93,1.27,1.0
AXISBANK,Mar 2014,8.68,1.3,1.0
AXISBANK,Mar 2015,9.05,1.33,1.0
AXISBANK,Mar 2016,8.82,1.43,1.0
AXISBANK,Mar 2017,9.36,2.04,1.0
AXISBANK,Mar 2018,9.52,2.63,1.0
AXISBANK,Mar 2019,10.5,2.07,1.0
AXISBANK,Mar 2020,9.23,2.26,1.0
AXISBANK,Mar 2021,8.21,2.59,1.0
AXISBANK,Mar 2022,8.63,1.97,1.0
AXISBANK,Mar 2023,8.88,1.8,1.0
AXISBANK,Mar 2024,8.25,1.69,1.0
BAJAJ-AUTO,Mar 2013,0.01,3656.0,1.0
BAJAJ-AUTO,Mar 2014,0.01,4163.0,1.0
BAJAJ-AUTO,Mar 2015,0.01,688.0,1.0
BAJAJ-AUTO,Mar 2016,0.01,4793.0,1.0
BAJAJ-AUTO,Mar 2017,0.01,4429.0,1.0
BAJAJ-AUTO,Mar 2018,0.01,4846.0,1.0
BAJAJ-AUTO,Mar 2019,0.01,1299.5,1.0
BAJAJ-AUTO,Mar 2020,0.01,1703.0,1.0
BAJAJ-AUTO,Mar 2021,0.0,705.43,1.0
BAJAJ-AUTO,Mar 2022,0.0,584.33,1.0
BAJAJ-AUTO,Mar 2023,0.0,161.62,1.0
BAJAJ-AUTO,Mar 2024,0.07,146.08,1.0
BAJAJFINSV,Mar 2013,1.67,3.26,1.0
BAJAJFINSV,Mar 2014,2.09,2.88,1.0
BAJAJFINSV,Mar 2015,2.37,2.47,1.0
BAJAJFINSV,Mar 2016,2.65,2.34,1.0
BAJAJFINSV,Mar 2017,2.99,2.34,1.0
BAJAJFINSV,Mar 2018,3.21,2.38,1.0
BAJAJFINSV,Mar 2019,4.2,2.26,1.0
BAJAJFINSV,Mar 2020,4.06,1.92,1.0
BAJAJFINSV,Mar 2021,3.59,2.12,1.0
BAJAJFINSV,Mar 2022,4.0,2.23,1.0
BAJAJFINSV,Mar 2023,4.57,2.41,1.0
BAJAJFINSV,Mar 2024,4.79,2.2,1.0
BAJAJHLDNG,Mar 2013,0.0,,1.0
BAJAJHLDNG,Mar 2014,0.0,,1.0
BAJAJHLDNG,Mar 2015,0.0,,1.0
BAJAJHLDNG,Mar 2016,0.0,,1.0
BAJAJHLDNG,Mar 2017,0.0,,1.0
BAJAJHLDNG,Mar 2018,0.0,,1.0
BAJAJHLDNG,Mar 2019,0.0,,1.0
BAJAJHLDNG,Mar 2020,0.01,23.15,1.0
BAJAJHLDNG,Mar 2021,0.0,88.0,1.0
BAJAJHLDNG,Mar 2022,0.0,122.33,1.0
BAJAJHLDNG,Mar 2023,0.0,54.29,1.0
BAJAJHLDNG,Mar 2024,0.0,781.0,1.0
BAJFINANCE,Mar 2015,5.55,67.38,1.0
BAJFINANCE,Mar 2016,4.99,67.26,1.0
BAJFINANCE,Mar 2017,5.13,147.73,1.0
BAJFINANCE,Mar 2018,4.2,411.5,1.0
BAJFINANCE,Mar 2019,5.16,419.54,1.0
BAJFINANCE,Mar 2020,4.02,1017.67,1.0
BAJFINANCE,Mar 2021,3.57,3613.0,1.0
BAJFINANCE,Mar 2022,3.78,-698.82,1.0
BAJFINANCE,Mar 2023,3.99,-2538.6,1.0
BAJFINANCE,Mar 2024,3.82,2683.17,1.0
BANKBARODA,Mar 2013,15.3,2.43,1.0
BANKBARODA,Mar 2014,16.3,2.17,1.0
BANKBARODA,Mar 2015,15.84,2.47,1.0
BANKBARODA,Mar 2016,14.6,4.24,1.0
BANKBARODA,Mar 2017,15.06,2.43,1.0
BANKBARODA,Mar 2018,14.44,3.26,1.0
BANKBARODA,Mar 2019,13.35,3.27,1.0
BANKBARODA,Mar 2020,14.05,3.33,1.0
BANKBARODA,Mar 2021,12.95,2.59,1.0
BANKBARODA,Mar 2022,12.9,2.61,1.0
BANKBARODA,Mar 2023,12.78,2.35,1.0
BANKBARODA,Mar 2024,12.14,1.9,1.0
BEL,Mar 2013,4.0,95.57,1.0
BEL,Mar 2014,3.0,132.14,1.0
BEL,Mar 2015,3.71,168.43,1.0
BEL,Mar 2016,2.08,139.3,1.0
BEL,Mar 2017,1.93,99.56,1.0
BEL,Mar 2018,1.55,339.83,1.0
BEL,Mar 2019,0.96,181.81,1.0
BEL,Mar 2020,0.8,344.88,1.0
BEL,Mar 2021,0.83,321.4,1.0
BEL,Mar 2022,0.84,371.56,1.0
BEL,Mar 2023,0.52,215.26,1.0
BEL,Mar 2024,0.51,420.92,1.0
BHARTIARTL,Mar 2013,1.33,5.08,1.0
BHARTIARTL,Mar 2014,1.27,4.51,1.0
